C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C20	C21	C22	C23	C24	C25	C26	C27	C28	C29	C30	C31	C32	C33	C34	C35	C36	C37	C38	C39	C40	C41	C42	C43	C44	C45	C46	AD1	AD2	AD3	AD4	AD5	AD6	AD7	AD8	AD9	AD10	AD11	AD12	AD13	AD14	AD15	AD16	AD17	AD18	AD19	AD20	AD21	AD22	AD23	AD24	AD25	AD26	AD27	AD28	AD29	AD30	AD31	AD32	AD33	AD34	AD35	AD36	AD37	AD38	AD39	AD40	AD41	AD42	AD43	AD44	AD45	AD46	AD47	AD48	AD49
A0A087WXL6	-0.758544184450927	-0.846496992572663	-0.956810452593753	-0.848845783366374	-0.774629125724281	-0.879207725152151	-0.639021281468886	-0.716534097839663	-1.09873316081664	-0.910188269094804	-1.04192455319292	-0.909197473982346	-0.357352838022594	-0.674845573869992	-0.99219255659674	NA	-0.729309476893094	NA	-1.41778790455543	-0.667172628690141	-0.87076269738396	NA	NA	-0.777683409030505	-0.11242024071715	-1.07686370579123	-0.464643051171871	-1.36748705918993	NA	-0.112645470022736	-0.289061739876444	-1.03368139379194	-0.811147161009121	-0.860547690216334	NA	-0.868478628573365	-0.655063238836719	-0.796359488766142	-0.590810319206957	-0.529735766801403	NA	-0.586414893252961	-0.856790989234381	-0.178303072405681	NA	-0.871011423707363	NA	-0.936381634211581	-0.889144297813601	-0.840507237649493	-0.632892461452478	-0.671283619610817	-0.739441860376791	-0.95796999408875	-0.943784603918744	NA	-0.885587508228995	-0.75297231242697	-0.804089504536987	NA	-0.47529421009469	-0.699484935002785	-0.853077481657607	-0.953294052921988	-0.889957653239168	-0.51788408839508	NA	-0.847320618098401	-0.794789516103998	-0.591370875772623	NA	-1.06442168294812	-0.919311663511781	-0.924649155655224	-0.603036303142189	-0.881363306843216	-0.781976744186413	-1.33160020687216	-0.612631793939866	NA	-1.18943722776451	-1.02645984297709	-0.738416237296369	-0.607519857850269	-1.18347531385366	-0.836287330100862	NA	-1.37707626727077	-0.732342693100835	-1.00033835630294	-0.572936677609717	-0.706366088490985	NA	-0.853963402615129	-0.735608289035019
A0A0A0MRG2	0.333992931399713	0.664274348038901	0.524328158615516	0.52854990883754	0.572165573013056	0.498284410294116	0.253598739696138	0.498893860343339	0.593076928700353	0.571369612503456	0.808433288097571	0.606486020573535	0.372442360391032	0.384422836219233	0.505089086503506	0.649855698426892	0.608822442636346	0.546150060549438	0.528220577790488	0.52081926771955	0.105954818615204	0.566752461386322	0.36951770136779	0.490589594518401	-0.00839303255953487	0.594284080327499	0.488657212756521	0.540632836137068	0.642704511083722	0.392102108323274	0.562772418267378	0.660705183745745	0.489655914431126	0.396022035919518	0.536639594995489	0.43960222274821	0.582755142997559	0.573650373819196	0.653052423788009	0.544524197777085	0.347802217019476	0.316520020838853	0.566089641051185	0.487844868656732	0.527251889318206	0.573076482647674	0.694383986379959	0.725907367413446	0.587021506760254	0.735373370174018	0.589358782223539	0.678167234545178	0.626248066955895	0.655663393872931	0.59361583198041	0.617792224471536	0.578468953133517	0.614238754643467	0.684059298131085	0.68988312409351	0.737500803498193	0.473806304585222	0.589938433288446	0.601954415315676	0.584868851042196	0.757370671501086	0.486366821585014	0.601114018035855	0.737127650661724	0.736800914725613	0.459610081406622	0.705851473303426	0.803084981206259	0.730610620675504	0.860371989113052	0.635045360668321	0.681263629885523	0.641745139495187	0.581537301501007	0.691408051189272	0.701214588033771	0.78885570607001	0.744391836802087	0.727773292445741	0.589416470463443	0.860973641114388	0.775083928409888	0.698362429523789	0.636620981726042	0.721149581617608	0.724127775775681	0.544439440845932	0.670023193817762	0.860397259025962	0.65993732517979
A0A0A0MS52	1.09296955925507	1.11072237997091	1.05341732389766	1.10711390505276	1.10622176193794	1.05998341906021	1.19354414927475	1.00788940266172	1.00902564931332	1.03058096047008	0.896247823895708	1.13249043444295	1.08650713413216	0.952293034031247	1.0010714099447	1.12804073218871	1.03427165121797	0.938989019507895	1.07917566357454	1.00711345899305	0.627184820262407	1.02182975201674	1.03950978094023	1.09190369121191	0.97635832110876	1.03260315348955	1.04620486065454	1.09194268867487	1.07728238108256	1.00675896297329	0.965402952248113	1.0697060076115	1.06650157022709	1.0444797434626	1.1127268776416	0.831819866882858	1.15654020044407	1.01464380358461	1.19046628487024	1.06044848344452	0.943189031866095	1.06453060505062	1.20628632274871	1.19615441975355	0.931049882304797	1.0450996293126	1.10926895046818	1.15503460632297	1.11207270636437	1.21081941182291	0.963164752369336	1.10279876232239	1.07375205303612	1.07239925397298	1.12152349344502	1.19261446346941	1.2368174693648	1.15740810272704	0.948602279686329	1.21925505801361	1.06997091225468	1.07157388059622	1.1009215782608	0.944594266468038	1.04161330935219	1.20786939167806	1.02999629856252	1.00447642802766	1.063988105952	1.07441797634504	1.10164113433087	1.08873105797803	1.11901624820146	1.13275387208195	1.0718411551172	0.958328382108281	1.08901962807945	1.02723621296	1.05317427762505	1.13188372166195	1.03594816294157	1.26215940220997	1.09022041491111	1.11868153804744	1.224285276221	1.07076917918186	1.03708660980081	0.992939771410474	1.06671430240687	1.05189339674216	1.04027161369644	1.10164890499694	1.08377454352686	0.972271108337909	1.05283777942213
A0AVT1	-0.827854835773311	-0.872642025033914	-0.868480616138072	-0.766153729018396	-0.9782683974741	-0.998978610308451	-0.709468542679883	-1.0303217246336	-0.986059618214936	-1.30527572083507	-1.08528464486166	-0.758566184403295	-0.782822384892988	-0.762750925095476	-0.230605711809891	-0.799829609888891	-0.887945589950148	-1.45240145217429	-0.737259390608634	-1.08037429420622	-0.254200645815342	-0.79382471941704	-1.12622068832779	-1.00516521786097	-0.317590656904142	-1.00533038861678	-0.883652969741333	-0.954765981281937	-1.0030591718474	-1.47506416023084	-1.16440674358406	-0.944358229416761	-0.831547778664563	-0.613847457649751	-1.07588593121848	-0.361433825109989	-0.3348988156152	-0.840193957726881	-0.98909830781229	-0.810112159715838	-0.700694286850695	-0.511643308920306	-0.971681413363476	-0.70017638717478	-1.00954687721398	-0.918710523639335	-0.739806706782548	-0.837089291913301	-0.92818955983182	-0.855123719378704	-1.12718429343533	-0.762917149742285	-0.893617251464226	-0.743351590781616	-0.875972171999977	-0.734611095409439	-0.99863910133863	-1.67545842046562	-0.601915939076861	-1.60701956685973	-0.885385455318395	-0.531694801886497	-0.79708649324072	-0.838291191824975	-0.701370037905442	-0.977316408298609	NA	-1.13843906176817	-0.433827613804817	-0.904870358939852	-0.777333552149893	-0.954092000773537	-0.88156617644314	-0.780213191487669	-0.761641094940811	-1.04679462615714	-0.863263733920212	-0.85106156457548	-0.971933704074969	-0.937335818837128	-0.77000578812757	-0.967274592831772	-0.969351799364197	-0.807849054422698	-0.491247953986352	-0.568790320969617	-0.404331500384592	-0.886847497317419	-0.982986686567922	-0.744253134780398	-0.850103305237495	-0.753192624193782	-0.924707185188804	-1.17048354024254	-0.747606106859444
A0FGR8-2	0.00139683060047813	-0.0555270791836756	-0.0063768738735758	0.0363997131041074	-0.036824920110529	-0.000247729670167376	-0.053566756931648	0.00456321789443202	-0.0678267841312534	0.147998249523761	-0.0825670467081133	-0.0836375367339533	0.0879422792354722	0.00742950324334061	-0.0895131835925648	0.110059081396465	0.0146567235427654	-0.137864685060855	0.0351838638881322	-0.102669709396211	0.40159673577794	-0.0262936299027212	-0.452483259761471	0.0829198027948501	-0.597430424772949	-0.0269978074161291	0.00827735209963871	-0.665429336551944	-0.0221594946321567	-0.229483572262609	0.212035185623053	-0.0699146082591406	-0.104580069295488	0.00978537670250627	0.0233577712319403	-0.228993428801067	-0.129640648251234	-0.0200649833564716	-0.365679440210779	-0.0486066040310047	-0.27391330574271	0.0747779624390317	-0.159759777068211	-0.0175280594913504	-0.0334421119922332	-0.221955601523794	-0.0273634525946899	-0.114511460472671	0.00609032786820509	-0.217089632510369	-0.0241757851743072	-0.072229740355067	0.0451106884113443	0.0341522290195949	-0.0976980522755894	-0.0359354023704285	-0.00130307674006976	0.0729599993368687	-0.0957652162078749	0.0597717653034854	-0.0539744110569742	0.0705598958466171	-0.00524312112274035	-0.101382319857684	-0.0051621746645323	-0.194130692817211	-0.217722136868782	-0.0616481145513679	0.0252374132360675	0.156203567783676	-0.231945007035725	0.000199774660216788	-0.00818126776209611	-0.0278483430768592	-0.0864617881887772	0.121849497601699	-0.161382200373073	-0.374767452587121	0.0761349325889821	-0.147035294009117	-0.0919063063092145	0.0237581404533554	-0.029857315697381	-0.0161511300116175	-0.00256549397390695	0.0722552755513983	-0.187488496568758	0.0320986854476486	0.0275602699861347	0.0598836407328438	-0.102536698743752	0.0199138247248925	-0.335133124372227	-0.0691046530836347	0.114084075104431
A0MZ66-2	-0.27041846054529	-0.33711866624981	-0.23666571905889	-0.296626422082854	-0.371371206267267	-0.354871897153283	-0.326497305000539	-0.451377779584573	-0.396182739479655	-0.499275858831639	-0.324116577647677	-0.192995233199822	-0.288459366635408	-0.299046596443304	-0.334264170884554	-0.350454085884024	-0.507382061106734	-0.367004191516809	-0.303176503371107	-0.216427389756573	-0.0616989907293849	-0.222417106857962	-0.151709156152044	-0.291128625629188	-0.979763294734674	-0.403998907949056	-0.934134479143099	-0.364173917234529	-0.357637451059454	-0.449221238197988	-0.301189792962464	-0.337977941182834	-0.383680192400874	-0.288199107639086	-0.237565443953415	-0.721090985534121	-0.245549679988887	-0.224733311335161	-0.391529343566133	-0.366985244894773	-0.276773765274074	-0.339412946711999	-0.326216379180168	-0.27150034730125	-0.35107239466016	-0.411612844624705	-0.248127801452357	-0.250460862956624	-0.386035975521532	-0.469747485093591	-0.383174724717649	-0.229367356969266	-0.295534733479778	-0.260948098972081	-0.216800787639075	-0.287030650082085	-0.395357535910572	-0.279652105177848	-0.241833543260167	-0.365598053450755	-0.414665817256212	-0.43379197547246	-0.362005951160546	-0.210263140366391	-0.265309978331463	-0.419672627142318	-0.485487339617162	-0.391785904514235	-0.229566473895696	-0.312814948459497	-0.696008300062876	-0.383714713289454	-0.214336714178287	-0.192029424140423	-0.24443480240496	-0.304614437986185	-0.387407359053317	-0.38192350932068	-0.245293774254219	-0.322697875329948	-0.313227351839877	-0.522396801265178	-0.168525197981068	-0.476087091510939	-0.338504018450167	-0.104301066542101	-0.307294589429806	-0.251496277841439	-0.520363861858982	-0.347831023100216	-0.351683549378338	-0.275406269918191	-0.226608663125014	-0.224051915567957	-0.372190528476575
A1L0T0	-1.45933985211403	-1.57800738690181	-1.77208331893376	-1.27678100505631	-1.53697564964313	-1.60043430957885	NA	-1.61069587694374	-1.76457540124009	NA	-1.65493204731268	-1.33042002877317	-1.63640400760794	-1.5110575058995	-1.38794995837702	-1.31525858816997	-1.52883224577416	-1.55794449856396	-1.6359054571055	-1.67857366469074	-1.60848800138942	-1.78128221074636	NA	-1.42781136852727	-1.70602323959173	-1.75862418334506	NA	NA	-2.13721875556005	NA	-1.68107216147471	-1.44758633339354	-1.6339093227334	-1.62304279298333	-1.65586909076803	-1.57924777840506	-1.83144996298575	-1.52614000985782	-1.65595586321937	-1.38316675835536	-1.84805058022355	NA	NA	-1.41544530725491	-1.349748604617	-1.81608221815956	-1.47477552973797	-1.5381544319138	-1.44914250530735	-1.79971395439333	-1.51352657488863	-1.53197676643247	-1.4043258717717	-1.41909616183298	-1.47035394458595	-1.70513055758894	-1.41267185269467	-1.17581421347839	-1.33339474030648	-1.55826048737369	-1.55943054301315	-1.60910655991834	-0.692597870249932	-1.43115606073316	-1.59716796925555	-1.64964653059056	NA	-1.62345409874569	-1.66308486517892	-1.70133697262946	-1.65828352520492	-1.59718284557359	-2.16165718991646	-1.61801649453253	-1.68529465557078	-1.59269418592929	-1.56714044543827	-1.45932771421571	-1.83465082366342	-1.7035027026472	-1.4496438573563	-1.27663961237138	-1.45269777683039	-1.39639950903584	-1.57038707153132	-1.83250281086174	-1.43296863236892	-1.67572570155229	-1.44531376559823	-1.17544203232268	-1.77992944740373	-1.72798318201718	-1.76865796193838	-1.67815740124525	-0.960373835400659
A2VEC9-2	-1.86100595065078	-1.74935170612008	-1.73541268728918	-1.4025137837232	-1.9433661492597	NA	-1.721163881247	-2.33136455057532	-1.80998703229905	NA	-2.23342655474846	-1.87713672513543	-1.33395854547806	NA	-2.09598526462514	-1.66981075748184	-1.84382985539213	-1.75187342160282	-1.97433508572892	-1.24771997645036	-0.732517705824596	-1.78276723662823	-1.77070500973869	NA	-1.74701483540229	-2.54117055947722	-1.12520361198751	NA	-1.88920920460359	NA	-1.95258177432519	-1.66097468307724	-1.47228998834664	-1.83168131015641	-1.51143015547282	-1.7651986088305	-1.5989498310423	-2.00273026293483	-1.68804157959277	-1.85579941088009	-1.66750779087408	-1.66664017150523	-1.89440610493768	-1.6244723372594	NA	-1.53638979138959	-1.0474758268751	-1.52582160776752	-1.43483395827158	-1.5171835172118	-1.75350992801784	-1.62595201158492	-1.6816749968455	-1.62027528139217	-1.50772618902778	-1.59497881520024	-2.01130706363024	-1.54620426432316	-2.13064096615858	-1.15239046347765	-2.2350615109803	-1.92919181859147	NA	-1.59448063863491	-1.74923530891071	-1.65001920676135	NA	-1.01511216308561	-1.03110135147303	NA	NA	NA	-1.3000771458335	NA	-1.80161960271351	NA	-1.51139913359511	-2.30623819776949	-0.432895747031795	-1.52106823793161	-1.7220628081858	-0.7806952093011	-1.54087223540901	-1.56405993277482	-1.66879104044955	-1.94350824751933	-1.62133128779296	-1.69546956558923	-1.72522815536564	-1.61740490059843	-1.75691410884987	-1.8718126299175	-1.40115387137156	-1.55156312016671	-2.74003842100614
A6NDG6	-0.969354325053	-1.13819379777103	-1.05812433334495	-1.17159511183869	-1.14348309391674	-1.43454523389261	-1.03141367958756	-0.903782286642615	-1.04409921410341	-1.20158707160352	-0.963548023560901	-0.858036532243595	-1.0523844105352	-1.04514414524142	-0.927419940460008	-0.958247591448069	-1.27733970717034	-0.99434255478266	-0.975929492147887	-1.03358512167644	-1.41470987475163	-1.04353688811308	-1.28071398186456	-0.825444560351257	NA	-1.02466665862777	-0.803315699202207	-1.06919762337763	-0.912361633899676	-1.07555370086412	-1.21220306873345	-1.00971617787096	-0.720135873564569	-1.22488541132114	-0.999198818655324	-1.21422587924648	-1.18325539400393	-1.06815509312916	-0.838372200523118	-1.18406942478283	-1.08436579658604	-0.956247711842839	-1.07808776820756	-0.894992976010387	-1.53795951657258	-1.09164192590403	-1.05126978380082	-1.22032683905833	-1.19632005428283	-1.05199688846046	-1.06929229717013	-1.13218937200656	-1.01470604237717	-1.19584095704986	-1.3363997244061	-1.05454288181275	-0.872911302566902	-1.2311203331495	-1.08925500744157	-0.992285505860657	-1.38525584976178	-0.991386264155984	-1.01918381603694	-0.929592987474806	-1.23429850379623	-1.20668329975897	-1.18110223579537	-0.904089299576214	-1.15950603497352	-1.09908237446123	-0.941986046298004	-0.471191337436277	-1.69968234679054	-1.69407693519916	-1.68938820596092	-1.69380975583938	-1.21657030672635	-1.06559590517347	-1.19090417199854	-1.32790304954934	-1.01663842535712	-1.09654735854789	-0.986108742442485	-1.02655572908835	-0.775663957176953	-0.983845964677104	-1.51169958342214	-1.23592675485549	-1.05044317127398	-0.932227611842864	-1.16750764883842	-1.28599835333261	-1.18322983517503	-1.29585546351185	-2.33494668181184
A6XGL3	1.85286884052137	1.78861659201881	1.84881765317987	1.83847675589658	1.93557422659374	2.01316874030895	1.79509645647147	1.90112473152333	1.85968732023428	1.67118637033947	1.79788992610698	1.76881986875178	1.77570101151936	1.85259949030032	1.92261645105843	1.8868990202189	1.89633708986955	1.78384329919715	1.95958093472749	1.80167212698233	1.80383373073259	1.68743687590441	1.78724609867721	1.79181604193434	1.65236261377686	1.83625742180948	1.86192071620576	1.82769779929378	1.81728987325848	1.84461641592571	1.71713099790399	1.99511483643039	2.08296787933698	1.97190769889692	1.72314841248492	1.86257783814091	1.69281468980038	1.68392430920427	1.67758829622431	1.77596738904922	1.81686677778509	1.79608725136687	1.79864070936259	1.78217360486792	1.72841643991817	1.87360068811931	1.7966457870749	1.79874678004363	1.97002298703967	1.75517124739752	1.93176191214691	1.89992677312804	1.92331128723185	1.89835193569128	1.97310830660074	1.81527787185202	1.8189976566384	1.91770923602618	1.87921741390815	1.92573046385279	1.90378647843024	1.53314453826185	1.88259130556255	1.92075944364113	1.66419405675214	1.68585587484777	1.71224913424008	2.02420314938373	1.89125093646578	1.85028891426845	1.79649178454218	1.77665581460655	1.79892666404991	1.93752008818335	1.7867441060812	1.90586963936174	1.78482127891004	1.87682532412702	1.61442593805563	1.96856924928931	1.80806806957669	1.88043063167923	1.81649022883776	1.94100457169028	1.86077995551912	1.80322875573057	1.71644172223805	1.70467348069108	1.8392136337624	1.93513747015911	1.91069046214524	1.86137150364523	1.78149204794921	1.52828183818233	1.82508235675889
