C1	C2	C3	C4	C5	AD1	AD2	AD3	AD4	AD5
A0AVT1	0.239063595503568	0.286795673659253	-1.18265094817337	0.0789592179880333	0.153337925339466	-0.267714585013716	0.254456012272745	0.150530264510425	0.145827429477569	-0.0188338257373572
A0FGR8	0.0954359187914424	0.673024887795654	0.346610846482843	-0.280362671863621	0.46046923600574	NA	0.222514161751912	0	0.0500185585985395	-0.057079028425219
A0MZ66	-0.615589424602373	-0.434370948788776	-0.529321474898227	-0.552496805425901	-0.858296063179082	-0.226907587203096	0	-0.673653135098773	0.145827429477569	0.161492684136065
A1L0T0	1.94284846468819	0.930829306753234	0.747218674322744	1.18333328675291	1.00978831010407	0.899614536855041	-0.452358386099528	-0.389774376297639	0.697360148441135	0.892438985933609
A1Z1Q3	-1.06551267789162	-0.230613911153383	-0.694124278608786	-0.082182920831501	-0.546790635045873	0.120095875570556	-0.598087243755568	-0.502506568984432	-0.951201534394158	0.195565438928088
A5A3E0	-2.56111924450519	1.31073796284343	-2.43972725210773	1.06826185394646	0.568193292438262	-1.91491544361219	0.911730909297927	-2.16224803362555	-0.921771725471058	-1.2254254297275
A5YKK6	-4.31753639184392	0.343651019100252	-1.35989635226126	-2.35782791554439	-0.209921314020313	-1.34018488958595	NA	-1.35639601871326	-0.808918491563949	-1.29892308071062
A5YM72	-0.999199604596996	0.32486285455255	-1.78639777883259	-0.606185373670177	0.0972099966459606	0.766425113807353	2.11197906686749	0.742833325679809	-0.0341864427236579	0.447905693636728
A6NCE7	-0.272403333233624	0.362279282436616	-0.0826493336532068	-0.474556672246049	0.0394549468281744	0.410229366234795	0.0538159016547765	0.166482363793414	0.191771555579365	0.14422113434333
A6NDG6	-0.669927594381387	-0.688841311152851	-0.507096174365019	-0.103263762620597	0.553156166677542	-0.352255621142978	NA	0.0852238646225613	0.495247138784145	-0.957261619952098
A6NGB9	0.831844240567188	0.188626407722607	0.447350444240518	0.80281688048555	0.153337925339466	1.56871056297349	0.878323755856857	1.33707538931174	2.8156480882497	2.17968632864284
A6NHL2	3.56258655014414	4.56241449081026	4.21390050456991	4.10152987569802	3.97154765729155	4.64335307905476	1.24367260604838	4.22309623350274	4.44383966885197	4.5273013519394
A6NL88	NA	-1.19230305257914	0.0476283564551765	0.191878644180613	-0.123281154927353	0.278685771981592	-0.452358386099528	0.417501033557994	1.76032645827195	0.880763247932224
A8MVG2	-0.588976111718433	NA	-0.905747126870597	-1.39544528712998	-1.4212852403438	-1.96790523617691	-2.01847416827077	-1.64474787274072	-2.41492542486022	NA
C9J069	-0.935061126660057	-1.51716590713169	NA	-0.424224000754147	-0.889186754916164	0.0351501828277357	NA	-1.21074979937372	-0.122802048013775	-0.668390970903066
O00139	-0.250048251936343	-0.330122306976049	-0.224394186525013	-0.449233042805304	0.153337925339466	0.0866038210536651	0.140118256050645	0.213482761599459	0.0335094387697101	0.0371091311847201
O00142	-1.51892783628455	-0.909483415854145	-0.74448177516703	0.298799450487256	-0.300500989386272	-1.06117635622013	0.238555135828496	-0.108080411691675	0.507828396445327	-0.349172292003679
O00154	0.528186128848832	0.286795673659253	-0.339536639884496	0.528192260793337	0.553156166677542	0.731505438898607	0.651195963898203	0.259251565121897	0.966195236061568	1.03795294536239
O00168	0.685901785587807	0.362279282436616	NA	-0.124567686242219	-0.123281154927353	-0.737550811038995	NA	0.842674369588164	-0.398882581772436	-0.441731840274006
O00170	0.67207806499432	1.24976444548125	0.835936974630936	1.31326236629848	-0.254696450140319	0.367455580159037	-0.151807790783019	0.916565743830151	0.663402392975116	0.821267778312031
O00186	-0.184476246399314	0.973331763187309	-0.85017924988859	-1.31648606914195	-0.654514691478395	-0.710858184308266	-0.572974586574786	2.91634740249049	0.114490027225429	-0.807265596949105
O00192	1.11686358443679	-2.63526498132971	-0.93426661018076	-0.867253026336646	-2.03554786167635	-0.30948183506722	-2.38382301846228	-0.525953132181876	-0.178288047104847	-2.19473821588759
O00194	-0.669927594381387	1.0150245995898	-1.2866424314788	-0.32718343318352	-0.739310880327798	NA	-1.02341550142797	-0.673653135098773	-0.755194253548538	-0.21837853180888
O00217	-1.24185257996347	-1.84728821410774	-1.99459777133671	-0.189866448115471	-1.34157822336978	-1.2662147604967	-1.49470903082051	-2.04575535997867	0.336489728143844	-1.45517603736295
