C1	C2	C4	C8	C9	C10	C11	C12	C13	C14	C15	AD4	AD5	AD6	AD7	AD8
A0AVT1	-0.928390084843753	-0.758401525301514	-0.64572906607456	-0.826436207230771	-0.96914424096375	-0.442927413920629	-0.897765920283673	-0.249408641256106	-1.40610032728188	-0.891535914398544	-0.962757991737111	-0.892122603622725	-0.74203090756739	-0.796128261495831	-0.78116047652528	-0.0826116661587674
A0FGR8	-0.868971098132508	-0.905486979856733	-1.48656068875355	-0.826436207230771	-0.673704573654655	-0.77150599466531	-0.831012463843435	-0.855617662122396	-0.898881801643266	-1.1381519394169	-1.00319356411075	-0.670675674278255	-0.828512670601329	-0.608474486031925	-0.639170912414419	-0.715274797280795
A0MZ66	-0.190409309129763	-0.0797261205988049	-0.268262451809485	-0.00362230030453477	0.519930192511664	-0.105900095130334	-0.3847711377695	-0.414166504300565	-0.378785340173558	-0.43531976576502	-0.62993952942154	-0.0396897010336849	0.46392529169152	-0.308723528940081	-0.304694692701543	0.50117783464174
A1L0T0	NA	-0.813362655838853	-0.64572906607456	-0.350643128768854	-0.382348059658428	-0.334025349728595	-0.239200829525715	NA	-0.571951145427938	-0.456216148633524	-0.500440831722852	-1.05649196643441	-0.702648800993196	-0.441530249588024	-0.589902023309598	-0.298009495120855
A1Z1Q3	-1.02907490575021	-1.63626385024241	-1.39784288748358	-1.10475731623367	-0.731082238273096	-0.971772227149679	-1.82945167502323	-1.04898176214696	-1.55177732471764	-0.934013928271587	-1.04623963951963	-0.713952637479903	-0.85199938631751	NA	-1.09999301535212	-1.2182203875493
A5YM72	-1.2416273002218	-0.660570224377339	-0.762812873618939	1.43411998247634	-0.470402285750685	-0.408369761536336	-0.33767078007904	-1.15259338875594	NA	-1.41709832890395	NA	-0.650041424898165	-1.14771924817186	-0.184099021771037	-0.544033784906546	0.431240383506263
A6NCE7	1.38935714897261	1.37895878444791	1.44656520086075	1.3660083796757	1.39551634942797	1.17581409197348	1.3823575236024	1.23711644726175	1.2585761072119	1.30458880102299	1.37996730445629	1.21168140653728	1.18798043219341	1.10121783782547	0.683119352305721	1.44582554223095
A6NDG6	-0.180437230518723	-0.275659972099394	-0.357420858940835	-0.244830353994586	-0.0694775848928509	-0.285534894774925	-0.401240565012651	-0.354645770752193	-0.324823417560473	-0.415066451609329	-0.343806893288438	-0.319806297913714	-0.330833871523099	-0.441530249588024	-0.665245852947844	-0.205236657455496
A6NGN9	-0.841172925848051	-0.813362655838853	-0.445127348162815	-0.876379997138381	-1.02913350168139	-0.946345567566335	-0.714722605341487	-1.15259338875594	-0.814572883320268	-1.22775151944447	-0.62993952942154	-1.2747072741354	-1.04454577923337	-0.915055826878191	-1.0507241262473	-0.994872860629783
A6NHL2	2.29033796208623	2.27710430097449	2.16833402207865	0.800669266683681	0.519930192511664	2.01830425949428	2.20799237968399	2.61586797149251	2.42731833438319	2.48389043746408	2.48764624569443	1.90929426476989	0.664786111002676	0.384597778804707	0.178923669661814	1.12254897312247
E9PAV3	-0.105709141540561	-0.0797261205988049	-0.23354140049232	-0.0844714398484182	-0.244689467050556	-0.19791465413423	-0.0572045758884543	-0.0560445412315431	0.0316222000547344	-0.523207561277104	0.126221134965342	-0.108525490411084	-0.210636756800004	0.0897698314075998	-0.259857991763219	-0.0070994457013816
O00139	-0.00755104897550771	0.0482521493108005	0.12744182270669	-0.122265809673564	0.221878929103375	0.0586218716381801	-0.0185283557271822	0.0640622718822062	0.0692086956420615	0.0105311170709779	0.0447807517418669	-0.0646824147290554	0.12202831345135	-0.0328958283785298	0	0.0276619960523308
O00142	-0.653270945945898	-1.09511311130776	-1.04941087197158	-1.00412512691622	NA	-0.85327002170802	-0.933827562756342	-0.809244440497956	-0.86961518585119	NA	-0.88857242020611	-1.2747072741354	NA	-0.636235939013373	-1.00485588784425	-1.49403615094668
O00154	1.52609602262222	1.5008506610207	1.82219962267683	1.40907350215583	1.63861491787063	1.55131262631976	1.55380093026528	1.45406700651942	1.49732962808305	1.46017535021955	1.57184626242231	1.49610436808219	1.44791798026473	1.39784027242946	1.4585953143006	1.49957214568175
O00170	-0.507522847230552	-0.536615273459733	-0.667500066836347	-0.838585627313235	-0.359207890535608	-0.85327002170802	-0.639134875189621	-0.521940033471513	-0.571951145427938	-0.415066451609329	-0.705527798996494	-0.63002321616148	-0.783875952404465	-0.695576437694711	-0.813597434628565	-0.715274797280795
O00186	-0.717567912474539	-0.974935544453082	-0.816359126872982	-1.03605759677225	-1.09513125183331	-0.921843721461519	-1.01238624621362	-0.905428973679017	-1.1067487726958	-0.712554370736588	-0.962757991737111	-0.892122603622725	-0.85199938631751	-0.665231632076034	-0.847698538188099	-0.53476741441556
O00194	-0.0713244415589167	-0.0169022521173047	0.295927697814426	-1.14187037154652	-0.57205342970267	-0.206181340834198	-0.213544669769861	-0.184461385551215	0.343137101730756	0.487317089015226	0.219106521032023	-0.442063876258595	-0.124710893065186	NA	0.377610420968853	-1.2182203875493
O00217	0.808528110147683	0.675089801762771	0.788645927174884	0.677766207097611	0.724454773913194	0.798786098370317	0.765437105771495	0.802489156337584	0.741856060101133	0.701503856803027	0.830256563603409	0.558180506073379	0.58595360514287	0.668553879728903	0.609173684618421	0.467129764096439
O00231	-0.264832966286193	-0.301512372440586	-0.0746600731355094	-0.34464811848074	0	-0.24030136636756	-0.418126983775641	-0.377825485575778	-0.324823417560473	-0.395417805181245	-0.343806893288438	-0.319806297913714	-0.166295863013553	-0.275265134171952	-0.17834880947672	-0.380354631725534
O00232	-0.814509694703552	-0.482407889962868	-0.385346259353864	-0.695291247249594	-0.604226988761804	-0.431210135742847	-0.571248066031037	-0.650356877791186	-0.671787249679947	-0.979423709910629	-0.62993952942154	-0.504486608333072	-0.491247563564485	-0.872957627810357	-0.480669121930757	-0.583959682020651
O00264	0.829945060382263	0.87952895469117	0.689652978413884	0.37895329832035	0.806990748948516	0.817245513718552	0.704760938887339	1.01095827667078	0.932772765472412	0.737089862411987	0.713965875212345	1.02297741337277	0.875670711803906	0.705838066627245	0.810137795792901	0.770322267054636
O00299	-1.60966207882095	-1.59747903373681	-1.29003264206822	-1.31437870577515	-1.39815934756785	NA	-1.26229850160885	-1.48360905307113	-0.763611670965041	-0.979423709910629	-1.57390803430849	-0.6105853278359	-0.762626462340149	-0.796128261495831	-0.614080170080929	-1.26401729304268
O00308	-2.93014124612138	-2.57032534754996	-2.9120126849093	-2.44409965723921	-2.72684111024284	-2.85018434138444	-2.50772436513248	-2.50690061368471	-2.48228132641564	-2.73644817372712	-2.99300948111757	-2.600513871209	-2.44272651387961	-2.29809458961891	-2.37851642868192	-2.46292374447233
O00330	0.310729886150442	0.275554347275023	0.244525630251069	0.475793078461917	0.387602487085866	0	0.209905116188317	0.395077936197391	0.237133586844607	0.22297435860688	0.0702736384748973	-0.521044491401825	0.0637913623643003	-0.198435767857426	0.229258839288132	-0.0437823611685362
O00399	-0.160938515030599	-0.250783370182254	-0.511050102602571	-0.602389655275838	-0.147146916783087	-1.14853398826848	-0.529548368732852	-0.551818068591187	-0.324823417560473	-0.712554370736588	NA	-1.70924821363668	-0.424925753128693	-0.507922662230805	-0.245560112475695	-0.0988025138434372
O00401	-0.613673461218946	-0.939297042823796	0.295927697814426	-0.552141058829124	-0.457080071978717	-0.946345567566335	-0.529548368732852	-1.08177583271336	-0.86961518585119	-1.08088272385803	-0.62993952942154	-1.05649196643441	-0.783875952404465	-0.665231632076034	-0.665245852947844	-0.618904163027017
O00408	0.662780011432336	0.422639801830242	0.741055045977241	0.241208053690053	0.880335952864646	0.252440911255074	0.384896286079141	0.272531392215408	0.55313635875921	0.623981327088469	0.394098939727076	0.157294811355729	0.838477659405679	-0.0107819923935202	0.377610420968853	0.310216820840413
O00410	0.0909601976731418	0.218200648901843	0.188648401596541	0.215302174914617	0.173010120001597	0.0586218716381801	0.161502066844954	0.176346859034348	0.177299197490498	0.487317089015226	0.0785592440822285	0.0933835987739915	0.0637913623643003	0.0611975695109332	0.256398352927555	0.393299094495346
O00429	0.689443242576837	0.542817368684921	1.10744926495459	1.05997463571385	1.31085832218927	0.933983266349033	0.985701017282056	0.802489156337584	0.653949949567076	0.890850666262511	0.905844833178361	0.651899301151866	1.09045512097362	0.629008700312719	0.810137795792901	0.74781869350119
O00442	-0.674007876898124	-0.448597826995805	-0.7133897999723	-0.768719511114429	-0.731082238273096	-0.304514361490793	-1.05543201443137	-0.332238858676837	-0.650626759299963	0.581503313215426	-0.732755362062501	-0.6105853278359	-0.376227719571817	-0.581846475018218	-0.32033837358758	-0.906235811082122
O00468	-1.02907490575021	-0.758401525301514	-1.13516246465269	-0.838585627313235	-1.25101243078476	-1.05437266213758	-0.770336296959278	-0.959229288731379	-0.650626759299963	-0.500111129200684	-0.88857242020611	-0.691965087553336	-0.783875952404465	-0.833412448394173	-0.883643819802949	-0.906235811082122
O00471	-0.740488104941598	-1.24219856586298	-0.939051555375832	-0.944398402087503	-1.09513125183331	-0.831880081890168	-0.714722605341487	-0.93179098447994	-1.1067487726958	-1.25576343945514	NA	-1.13547258157764	-1.36552534517226	NA	0.0192716613088226	-1.17538024349502
O00483	1.19244594400472	1.30260804458504	1.12126018472393	1.42737923538575	1.23431718074212	1.17581409197348	1.19810262265173	1.12094099473678	1.14605442336916	0.94353323764875	1.09174184365642	0.830069267294689	1.14099253107166	1.27387564967512	1.37755982335059	0.977674035738513
O00487	-0.507522847230552	-0.638223958446833	-0.445127348162815	-0.454451743536067	-0.225847409404368	-0.698599633592056	-0.353004280994385	-0.551818068591187	-0.630098020619219	-0.272198767281961	-0.790790442961597	-0.538021605614699	-0.983658120849337	-0.326119111526517	-0.15325806714323	-1.13513811389437
O00499	1.25028534479084	1.48350356210732	1.33928590464287	1.44959555362292	1.328681762675	1.55131262631976	1.68277537863294	1.38066923572969	1.23212432005849	1.15772000543655	1.10952910240805	1.46214469681982	1.18798043219341	1.65390657886893	1.31296286018391	1.83865402923013
O00505	-0.898005142993264	-0.974935544453082	-0.371231778710168	-1.20159709637524	-1.16847645574944	-1.18309164065277	-1.05543201443137	-0.745182168615749	-0.650626759299963	-0.851633953814769	-0.761141887494957	-1.09482012346087	-1.31592467800903	-0.608474486031925	-0.720680094700919	-0.715274797280795
O00533	0.153212848098777	-0.0430971579040151	-0.343900717088064	-0.166854489113934	0.267374701934477	0.0586218716381801	-0.0982623309674416	0.176346859034348	-0.0416892290607285	-0.0669914126435798	0.141380484645995	0.157294811355729	0	-0.326119111526517	-0.094385487221319	0.264419915347036
